antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Queen of Shadows,Crown of Midnight",Throne of Glass,0.033876500857632934,0.09451114922813036,0.021783876500857634,0.6430379746835443,6.803831928139861,1.0,0.018582169472975002,2.5366531635098477,0.8829347396821736,0.20434432823813356,0.6057797674569166,0.4367639964161823
The Sea of Monsters,The Lightning Thief,0.021973339825917586,0.035546898776553655,0.014121370746850083,0.6426592797783933,18.079194019656207,1.0,0.013340286660275376,2.6989734072997216,0.9659121148910235,0.32538569424964936,0.62948875402204,0.519959776875498
"Blue Lily, Lily Blue",The Raven Boys,0.05849056603773585,0.09348198970840481,0.03747855917667239,0.6407624633431085,6.85439479135839,1.0,0.03201074468429399,2.5234501347708895,0.9071690291337823,0.3273408239700375,0.6037171544541764,0.5208399472678845
A Conjuring of Light,A Gathering of Shadows,0.03542024013722127,0.04639794168096055,0.02221269296740995,0.6271186440677967,13.516087596729223,1.0,0.02056926673119754,2.5573873382192427,0.9600181670066973,0.37266187050359717,0.6089759321729031,0.5529308562298318
"Six of Crows,A Court of Thorns and Roses",A Court of Mist and Fury,0.03224699828473413,0.10042881646655231,0.020154373927958835,0.6250000000000001,6.223313407344151,1.0,0.016915846055624042,2.3988564894225277,0.8672811059907833,0.1791158536585366,0.5831347125560111,0.41284158838599494
"Heir of Fire,A Court of Mist and Fury",A Court of Thorns and Roses,0.03293310463121784,0.09708404802744425,0.02058319039451115,0.625,6.4377208480565375,1.0,0.01738591128280115,2.4077758719268156,0.8734302944306491,0.18808777429467086,0.5846789513677811,0.4185070671378092
Queen of Shadows,Heir of Fire,0.0595045543543032,0.0725291563803524,0.0371158593683493,0.6237482117310443,8.599965074183777,1.0,0.0328000442402429,2.4650270710651467,0.939632894658172,0.3910313901345292,0.5943249420105166,0.5677426504664611
Harry Potter and the Half-Blood Prince,Harry Potter and the Deathly Hallows,0.037993138936535165,0.04262435677530017,0.023670668953687822,0.6230248306997742,14.616638885230115,1.0,0.0220512358446434,2.5396252092727063,0.9683764808333107,0.41566265060240964,0.6062411113463556,0.5891784113257422
"A Court of Thorns and Roses,Crown of Midnight",Throne of Glass,0.036020583190394515,0.09451114922813036,0.022384219554030874,0.6214285714285713,6.57518796992481,1.0,0.018979872840839213,2.391857341661542,0.8795966785290628,0.20697858842188735,0.5819148648282952,0.4291353383458646
"A Court of Mist and Fury,Crown of Midnight",A Court of Thorns and Roses,0.033276157804459694,0.09708404802744425,0.020668953687821612,0.6211340206185566,6.397899894357217,1.0,0.017438369585364634,2.3832067303765414,0.8727401500136939,0.18842845973416733,0.5803972910726034,0.41701577356016173
